doc_id	place	date	doc_title	doc_type	doc_text
San-Francisco_2020-04-16_Government-Audit-And-Oversight-Committee_Agenda.txt	San-Francisco	2020-04-16	Government-Audit-And-Oversight-Committee	Agenda	['scheduling', 'hours', 'protections', 'employees', 'related', 'requires', 'affirmative', 'thirds', 'votes', 'passage', 'audit', 'oversight', 'intends', 'entertain', 'refer', 'consideration', 'audit', 'oversight', 'litigation', 'conference', 'convene', 'closed', 'existing', 'litigation', 'defendant', 'audit', 'oversight', 'convene', 'closed', 'purpose', 'conferring', 'receiving', 'following', 'existing', 'litigation', 'anticipated', 'litigation', 'closed', 'concerning', 'matters', 'likely', 'unavoidably', 'prejudice', 'position', 'pending', 'lawsuits', 'claims', 'listed', 'closed', 'occurs', 'disclose', 'disclose', 'settlement', 'henry', 'mckenzie', 'authorizing', 'settlement', 'filed', 'henry', 'mckenzie', 'filed', 'november', 'united', 'states', 'court', 'northern', '4:18-cv-7141', 'dmr', 'entitled', 'henry', 'mckenzie', 'et', 'involves', 'employment', 'dispute', 'audit', 'oversight', 'settlement', 'lawsuits', 'lehman', 'et', 'transbay', 'joint', 'powers', 'et', 'associated', 'related', 'consolidated', 'litigation', 'tower', 'litigation', 'conveyance', 'easement', 'audit', 'oversight', 'authorizing', 'settlement', 'lawsuits', 'filed', 'associated', 'related', 'consolidated', 'litigation', 'lawsuits', 'settlement', 's.', 'lehman', 'et', 'transbay', 'joint', 'powers', 'et', 'related', 'cross', 'actions', 'cgc-16', 'filed', 'et', 'sean', 'jeffries', 'et', 'related', 'cross', 'actions', 'cgc-17', 'filed', 'maui', 'peaks', 'corporation', 'et', 'mission', 'llc', 'related', 'cross', 'actions', 'filed', 'tower', 'association', 'mission', 'llc', 'et', 'related', 'cross', 'actions', 'cgc-', 'filed', 'clifford', 'montana', 'jr.', 'et', 'mission', 'llc', 'et', 'related', 'cross', 'actions', 'cgc-17-', 'filed', 'riccitiello', 'tower', 'association', 'et', 'related', 'cross', 'actions', 'filed', 'hayne', 'shadduck', 'et', 'donald', 'et', 'related', 'cross', 'actions', 'filed', 'november', 'judith', 'l.', 'turgeon', 'et', 'mission', 'llc', 'related', 'cross', 'actions', 'filed', 'xu', 'ming', 'ying', 'et', 'transbay', 'joint', 'powers', 'et', 'related', 'cross', 'actions', 'filed', 'kilroy', 'realty']
San-Jose_2020-01-14_City-Council_Agenda.txt	San-Jose	2020-01-14	City-Council	Agenda	['approving', 'total', 'commitment', 'moderate', 'income', 'asset', 'permanent', 'loan', 'danco', 'communities', 'affiliated', 'entity', 'west', 'carlos', 'permanent', 'supportive', 'affordable', 'located', 'west', 'carlos', 'offer', 'rent-', 'income', 'restricted', 'apartments', 'extremely', 'income', 'income', 'income', 'households', 'unrestricted', 'unit', 'authorizing', 'loan', 'documents', 'amendments', 'documents', 'related', 'financing', 'approving', 'loan', 'value', 'ratio', 'greater', 'loan', 'authorizing', 'loan', 'terms', 'rents', 'income', 'median', 'income', 'income', 'threshold', 'tenants', 'expiration', 'termination', 'subsidy', 'contracts', 'tenants', 'foreclosure', 'extent', 'determined', 'needed', 'feasibility', 'following', 'appropriation', 'amendments', 'moderate', 'income', 'asset', 'decrease', 'reserve', 'appropriation', 'appropriation', 'loans', 'grants', 'statutorily', 'exempt', 'resources', 'ministerial', 'projects', 'proposed', 'carried', 'approved', 'agencies', 'attachments', 'ground', 'leasing', 'owned', 'arya', 'affordable', 'located', 'hold', 'accepting', 'summary', 'costs', 'findings', 'summary', 'making', 'findings', 'disposition', 'located', 'balbach', 'authorizing', 'option', 'ground', 'satellite', 'affordable', 'associates', 'affiliate', 'arya', 'affordable', 'terms', 'conditions', 'proposed', 'leasehold', 'restrictions', 'option', 'ground', 'authorizing', 'option', 'ground', 'extension', 'option', 'related', 'documents', 'connection', 'financing', 'arya', 'including', 'amendments', 'riders', 'required', 'credit', 'allocation', 'authorizing', 'joint', 'application', 'arya', 'infill', 'infrastructure', 'capital', 'improvement', 'projects', 'qualifying', 'infill', 'projects', 'qualifying', 'infill', 'areas', 'downtown', 'strategy', 'eir', 'envision', 'eir', 'envision', 'supplemental', 'eir', 'balbach', 'sp18', '024', 'ground', 'leasehold', 'affordability', 'restrictions', 'option', 'ground', 'neighborhood', 'aviation', 'attachments', 'attachments', 'airport', 'master', 'capital', 'recommended', 'environment', 'upcoming', 'master', 'amendments', 'capital', 'y.', 'international', 'airport', 'pp17', '009', 'reports', 'assessments', 'reports', 'informational', 'memos', 'involve', 'approvals', 'airport', 'environment', 'referral', '12/2/19', 'd)1', '12/2/19', 'environment']
San-Francisco_2020-01-09_Public-Safety-And-Neighborhood-Services-Committee_Minutes.txt	San-Francisco	2020-01-09	Public-Safety-And-Neighborhood-Services-Committee	Minutes	['chronological', 'sequence', 'matters', 'taken']
San-Francisco_2020-09-22_Board-Of-Supervisors_Agenda.txt	San-Francisco	2020-09-22	Board-Of-Supervisors	Agenda	['damage', 'major', 'rainstorms', 'settlement', 'relates', 'diminution', 'real', 'value', 'claims', 'plaintiffs', 'armando', 'castillo', 'claims', 'loss', 'fees', 'costs', 'interest', 'passed', 'reading', 'finally', 'passed', 'partial', 'settlement', 'caguimbaga', 'zenida', 'c.', 'restauro', 'authorizing', 'partial', 'settlement', 'filed', 'caguimbaga', 'zenida', 'c.', 'restauro', 'filed', 'court', 'entitled', 'alfaro', 'et', 'involves', 'inverse', 'condemnation', 'arising', 'flooding', 'damage', 'major', 'rainstorms', 'settlement', 'relates', 'diminution', 'real', 'value', 'claims', 'plaintiffs', 'caguimbaga', 'zenida', 'c.', 'restauro', 'claims', 'loss', 'fees', 'costs', 'interest', 'passed', 'reading', 'finally', 'passed', 'partial', 'settlement', 'seid', 'authorizing', 'partial', 'settlement', 'filed', 'seid', 'filed', 'court', 'entitled', 'alfaro', 'et', 'v.', 'involves', 'inverse', 'condemnation', 'arising', 'flooding', 'damage', 'major', 'rainstorms', 'settlement', 'relates', 'diminution', 'real', 'value', 'claims', 'seid', 'claims', 'loss', 'fees', 'costs', 'interest', 'passed', 'reading', 'finally', 'passed', 'partial', 'settlement', 'fe', 'authorizing', 'partial', 'settlement', 'filed', 'fe', 'filed', 'court', 'entitled', 'alfaro', 'et', 'involves', 'inverse', 'condemnation', 'arising', 'flooding', 'damage', 'major', 'rainstorms', 'settlement', 'relates', 'diminution', 'real', 'value', 'claims', 'plaintiffs', 'fe', 'claims', 'loss', 'fees', 'costs', 'interest', 'passed', 'reading', 'finally', 'passed', 'partial', 'settlement', 'alfaro', 'authorizing', 'partial', 'settlement', 'filed', 'alfaro', 'filed', 'court', 'entitled', 'alfaro', 'et', 'involves', 'inverse', 'condemnation', 'arising', 'flooding', 'damage', 'major', 'rainstorms', 'settlement', 'relates', 'diminution', 'real', 'value', 'claims', 'plaintiffs', 'alfaro', 'claims', 'loss', 'fees', 'costs', 'interest', 'passed', 'reading', 'finally', 'passed', 'recommendations', 'conversion', 'certain', 'limited', 'restaurants', 'restaurants', 'north', 'beach', 'neighborhood', 'amending', 'certain', 'limited', 'restaurants', 'north', 'beach', 'convert', 'restaurants', 'apply']
Hayward_2020-10-28_Council-Infrastructure-Committee_Agenda.txt	Hayward	2020-10-28	Council-Infrastructure-Committee	Agenda	['management', 'tbp', 'stopped', 'submitting', 'monthly', 'billing', 'statements', 'abrupt', 'departure', 'tbps', 'prepared', 'billing', 'tbp', 'helped', 'statements', 'billing', 'statements', 'required', 'submitted', 'monthly', 'submitted', 'two-', 'month', 'periods', 'subcontractors', 'filed', 'stop', 'payment', 'claims', 'subcontractors', 'refused', 'needed', 'material', 'period', 'beginning', 'filing', 'claims', 'resolved', 'instances', 'tbp', 'locate', 'subcontractors', 'willing', 'tbp', 'stop', 'payment', 'withhold', 'claimed', 'progress', 'payments', 'stop', 'release', 'surety', 'bond', 'mandatory', 'withholding', 'payments', 'created', 'problems', 'getting', 'timely', 'payments', 'subcontractors', 'considered', 'electric', 'negative', 'progress', 'electric', 'provided', 'reasonable', 'complaining', 'overall', 'delays', 'lack', 'timely', 'payment', 'adequate', 'tbp', 'supervision', 'shut', 'pandemic', 'directive', 'return', 'letter', 'provided', 'pandemic', 'protocol', 'begin', 'shut', 'recent', 'consecutive', 'spare', 'air', 'days', 'subcontractors', 'decide', 'refrain', 'outdoors', 'days', 'wildfire', 'smoke', 'major', 'economic', '21st', 'century', 'learning', 'significant', 'asset', 'residents', 'visitors', 'downtown', 'rapidly', 'developing', 'major', 'urban', 'uses', 'indoor', 'homework', 'gathering', 'spaces', 'projected', 'grow', 'significantly', 'coming', 'years', 'similarly', 'heritage', 'restoration', 'significant', 'asset', 'providing', 'outdoor', 'space', 'gatherings', 'celebration', 'activities', 'award', 'estimated', 'months', 'cost', 'included', 'contingency', 'total', 'funded', 'measure', 'financing', 'proceeds', 'corporate', 'developer', 'contributions', 'authorized', 'additional', 'appropriation', 'related', 'offered', 'authorized', 'heritage', 'art', 'interpretive', 'signage', 'measure', 'processing', 'billing', 'tbp', 'authorized', 'payment', 'paid', 'tbp', 'surety', 'retention', 'account', 'includes', 'liquidated', 'damages', 'provision', 'contractor', 'payment', 'completion', 'delayed', 'days', 'completion', 'delayed', 'days', 'allowable', 'days', 'increased', 'impacted', 'contractor', 'control', 'affects', 'critical', 'path', 'events', 'things', 'rain', 'delay', 'days', 'orders', 'closures', 'smoke']
San-Francisco_2020-08-18_Board-Of-Supervisors_Minutes.txt	San-Francisco	2020-08-18	Board-Of-Supervisors	Minutes	['grants', 'esg', 'cv', 'authorizing', 'behalf', 'apply', 'expend', 'cares', 'esg', 'round', 'entitlement', 'u.s.', 'urban', 'hud', 'period', 'beginning', 'amending', 'esg', 'round', 'entitlement', 'expenditure', 'following', 'excused', '8/19/20', 'chinatown', 'zoning', 'control', 'table', 'technical', 'correction', 'amending', 'enact', 'provision', 'permitting', 'non', 'retail', 'professional', 'story', 'chinatown', 'zoning', 'control', 'table', 'inadvertently', 'deleted', 'recently', 'enacted', 'affirming', 'determination', 'quality', 'making', 'findings', 'consistency', 'priority', 'policies', 'adopting', 'findings', 'necessity', 'convenience', 'welfare', 'passed', 'reading', 'following', 'excused', 'seconded', 'moved', 'rescind', 'previous', 'carried', 'following', 'excused', 'seconded', 'moved', 'bearing', 'title', 'line', 'changing', 'lines', 'striking', 'findings', 'adding', 'finds', 'line', 'adding', 'effect', 'lines', 'adding', 'corrects', 'error', 'chinatown', 'zoning', 'control', 'table', 'inadvertently', 'created', 'chinatown', 'reorganization', 'ord', 'findings', 'chinatown', 'reorganization', 'line', 'striking', 'adopts', 'findings', 'line', 'adding', 'lines', 'striking', 'incorporates', 'reasons', 'reference', 'carried', 'following', 'excused', 'passed', 'reading', 'following', 'excused', 'recommendations', 'supporting', 'reparations', 'sponsors', 'supporting', 'reparations', 'comprehensively', 'inequities', 'exist', 'african', 'american', 'result', 'slavery', 'legacy', 'systemic', 'oppression', 'creation', 'african', 'american', 'following', 'excused', '8/19/20', 'mayoral', 'appointment', 'directors', 'natoli', 'approving', 'nomination', 'appointment', 'natoli', 'directors', 'ending', '8a.102(a', 'provides', 'confirm', 'appointment', 'majority', 'votes', 'approved', 'following', 'noes', 'excused', 'requested', 'nos', 'called', 'mayoral', 'reappointment', 'appeals', 'eduardo', 'santacana', 'approving', 'mayoral', 'nomination', 'reappointment', 'eduardo', 'santacana', 'appeals', 'ending', 'provides', 'nomination', 'days', 'nomination', 'transmitted', 'fails', 'nomination', 'days', 'nomination', 'transmitted', 'nominee', 'deemed', 'approved', 'm20', 'approved', 'following', 'excused', 'mayoral', 'appointment', 'appeals', 'swig', 'approving', 'mayoral', 'nomination']
Sunnyvale_2020-09-28_Planning-Commission_Minutes.txt	Sunnyvale	2020-09-28	Planning-Commission	Minutes	['stated', 'submitted', 'potential', 'study', 'non', 'items', 'comments', '-commissioner', 'comments', 'asked', 'forming', 'potential', 'study', 'assistant', 'stated', 'agendize', 'topic', 'future', 'senior', 'assistant', 'moon', 'stated', 'topic', 'serial', '-staff', 'comments', 'assistant', 'stated', 'denied', 'initiation', 's.', 'wolfe', 'road', 'recommended', 'denial', 'applicant', 'able', 'apply', 'years', 'extending', 'temporary', 'outdoor', 'activities', 'uses', 'remarked', 'hold', 'study', 'outline', 'path', 'forward', 'moffett', 'specific', 'adjourned']
Santa-Clara_2020-06-23_Council-And-Authorities-Concurrent-Meeting_Agenda.txt	Santa-Clara	2020-06-23	Council-And-Authorities-Concurrent-Meeting	Agenda	['promote', 'enhance', 'economic', 'alternatives', 'adopting', 'initial', 'study', 'mitigated', 'negative', 'declaration', 'lane', 'west', 'campus', 'expansion', 'approving', 'rezoning', 'planned', 'pd', 'planned', 'pd', 'construct', 'foot', 'story', 'foot', 'addition', 'common', 'expand', 'story', 'garage', 'total', 'spaces', 'west', 'lane', 'campus', 'located', 'lane', 'items', 'pulled', 'items', 'authorities', 'a.', 'b.', 'adoption', 'proposed', 'fy', 'improvement', 'fy', 'biennial', 'capital', 'fy', 'operating', 'changes', 'enhance', 'engagement', 'acting', 'governing', 'boards', 'sports', 'space', 'following', 'actions', 'requires', 'affirmative', 'votes', 'fy', 'fy', 'biennial', 'capital', 'improvement', 'fy', 'operating', 'changes', 'including', 'recommended', 'revisions', 'detailed', 'appropriation', 'capital', 'totaling', 'fy', 'fy', 'fy', 'appropriation', 'operating', 'totaling', 'detailed', 'fy', 'transfer', 'capital', 'operating', 'fy', 'transfer', 'capital', 'detailed', 'fy', 'expenditure', 'presented', 'operating', 'sports', 'space', 'fy', 'expenditure', 'described', 'revised', 'policies', 'described', 'exception', 'policies', 'fy', 'stabilization', 'reserve', 'drop', 'operating', 'expenditures', 'drawing', 'reserve', 'establishing', 'appropriations', 'engagement', 'enhance', 'establishing', 'fy', 'appropriations', 'authorities', 'assessment', 'improvement', 'promote', 'enhance', 'economic', 'alternative', 'assessment', 'improvement', 'tid', 'legally', 'sufficient', 'protest', 'resolutions', 'approving', 'water', 'sewer', 'recycled', 'water', 'rates', 'effective', 'deliver', 'enhance', 'high', 'quality', 'efficient', 'infrastructure', 'heard', 'alternative', 'resolutions', 'establishing', 'water', 'rate', 'recycled', 'water', 'rate', 'sewer', 'rate', 'adoption', 'setting', 'rates', 'overall', 'solid', 'clean', 'campaign', 'household', 'hazardous', 'exclusive', 'franchise', 'pillars', 'deliver', 'enhance', 'high', 'quality', 'efficient', 'heard', 'infrastructure', 'sustainability', 'alternative', 'setting', 'overall', 'rates', 'charged', 'rate', 'payers', 'collection', 'disposal', 'garbage', 'refuse', 'yard', 'trimmings', 'recycling', 'clean', 'campaign', 'household', 'hazardous', 'exclusive', 'franchise', 'effective', 'utility', 'bills', 'issued', 'rendered', 'reports', 'members', 'committees', 'stadium', 'referrals', 'engagement', 'enhance', 'authorities', 'tentative', 'tmac', 'enhance', 'engagement', 'scheduled', 'evening', 'chambers', 'stadium', 'sports', 'space']
San-Francisco_2020-10-26_Rules-Committee_Agenda.txt	San-Francisco	2020-10-26	Rules-Committee	Agenda	['resigned', 'minimum', 'years', 'professional', 'experience', 'following', 'certified', 'accountant', 'accountant', 'licensed', 'real', 'estate', 'broker', 'appraiser', 'accredited', 'nationally', 'recognized', 'professional', 'organization', 'certified', 'real', 'estate', 'appraisers', 'certified', 'equalization', 'unexpired', 'portions', 'ending', 'seat', 'alternate', 'succeeding', 'expires', 'minimum', 'years', 'professional', 'experience', 'following', 'certified', 'accountant', 'accountant', 'licensed', 'real', 'estate', 'broker', 'appraiser', 'accredited', 'nationally', 'recognized', 'professional', 'organization', 'certified', 'real', 'estate', 'appraisers', 'certified', 'equalization', 'ending', 'seats', 'applicants', 'seat', 'zareh', 'seat', 'seat', 'appointment', 'assessment', 'appeals', 'appointing', 'ending', 'assessment', 'appeals', 'vacant', 'seat', 'succeeding', 'ferrel', 'resigned', 'minimum', 'years', 'professional', 'experience', 'following', 'certified', 'accountant', 'accountant', 'licensed', 'real', 'estate', 'broker', 'appraiser', 'accredited', 'nationally', 'recognized', 'professional', 'organization', 'certified', 'real', 'estate', 'appraisers', 'certified', 'equalization', 'unexpired', 'portion', 'ending', 'seat', 'applicant', 'seat', 'following', 'given', 'challenge', 'court', 'amendments', 'zoning', 'amendments', 'described', 'limited', 'raising', 'issues', 'raised', 'described', 'written', 'correspondence', 'delivered', 'following', 'considered', 'provides', 'create', 'revise', 'major', 'days', 'introduction', 'provisions', 'apply', 'routine', 'operations', 'departments', 'controls', 'timing', 'apply', 'hearings', 'presented', 'apply', 'resolutions', 'simply', 'urge', 'taken', 'campaign', 'governmental', 'behested', 'payments', 'sponsors', 'amending', 'campaign', 'governmental', 'expand', 'definition', 'interested', 'party', 'prohibit', 'appointed', 'heads', 'soliciting', 'certain', 'behested', 'payments', 'heads', 'solicitation', 'certain', 'behested', 'payments', '10/9/20', 'referred', 'following', 'documents', 'analyst', 'cover', 'letter', 'correspondence', 'items', 'dr.', 'carlton', 'b.', 'goodlett', 'reception', 'desk', 'body', 'standing', 'committees', 'ordinances', 'resolutions', 'hearings', 'members', 'urged', 'testify', 'hold', 'measures', 'heard', 'procedures', 'procedures', 'persons', 'audience', 'vocally']
San-Francisco_2020-06-19_Public-Safety-And-Neighborhood-Services-Committee_Minutes.txt	San-Francisco	2020-06-19	Public-Safety-And-Neighborhood-Services-Committee	Minutes	['dr.', 'carlton', 'b.', 'goodlett', 'members', 'shamann', 'friday', 'carroll', 'norman', 'appointed', 'ahsha', 'neighborhood', 'excused', 'shamann', 'ahsha', 'neighborhood', 'met', 'videoconferencing', 'provided', 'teleconferencing', 'thursday', 'presiding', 'called', 'noted', 'excused', 'attendance', 'moved', 'excuse', 'attending', 'neighborhood', 'carried', 'following', 'excused', 'neighborhood', 'urging', 'establish', 'disqualifying', 'standards', 'applicants', 'position', 'officer', 'sheriff', 'deputy', 'applicants', 'based', 'misconduct', 'sponsors', 'urging', 'disqualify', 'applicant', 'employment', 'uniformed', 'ranks', 'sheriff', 'based', 'acts', 'misconduct', '06/02/20', 'neighborhood', '06/10/20', 'referred', 'referred', 'sheriff', 'defender', 'racial', 'equity', 'informational', 'purposes', 'referred', 'youth', 'response', 'youth', 'voted', 'unanimously', 'heard', 'speakers', 'chesa', 'presented', 'answered', 'questions', 'raised', 'spoke', 'requested', 'added', 'co', 'sponsors', 'moved', 'recommended', 'carried', 'following', 'excused', 'adjournment', 'neighborhood', 'adjourned', 'set', 'actions', 'taken', 'neighborhood', 'matters', 'stated', 'necessarily', 'chronological', 'sequence', 'matters', 'taken']
