avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.36479241322573,-3.3647924132257288,0.5776811,200,1152,20,0.5,1,1,0
-3.4620593636702406,-3.462059363670238,0.5794513,200,1216,20,0.5,1,1,0
-3.496236462362394,-3.496236462362394,0.5802438,200,1280,20,0.5,1,1,0
-3.3989476182473286,-3.3989476182473286,0.5783386,200,1344,20,0.5,1,1,0
-3.6512434985194653,-3.6512434985194657,0.5740943,200,1408,20,0.5,1,1,0
-3.3991014095074585,-3.3991014095074594,0.5755222,200,1088,20,0.5,1,1,0
-3.461770448564676,-3.4617704485646748,0.5752349,200,1024,20,0.5,1,1,0
-3.433511243971469,-3.433511243971469,0.57681334,200,960,20,0.5,1,1,0
-3.5621745550902593,-3.5621745550902584,0.58057815,200,896,20,0.5,1,1,0
-3.733144669744206,-3.733144669744205,0.5697375,200,832,20,0.5,1,1,0
-5.5655778003995025,-5.565577800399485,0.2908932,200,1,20,0.5,1,0.5,1024
-3.7888008723527276,-3.788800872352729,0.57072437,200,256,1,0.5,1,0.5,1024
-3.0132538214621793,-3.013253821462177,0.6036067,200,1024,1,0.5,1,0.5,1024
-4.946910890160812,-4.946910890160812,0.5752959,200,4096,1,0.5,1,0.5,1024
-4.7595212422193836,-4.759521242219384,0.57961655,200,16384,1,0.5,1,0.5,1024
