avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.5359862400062085,-3.535986240006206,0.57135385,200,1280,20,0.5,1,0.5,1024
-3.2968336989193925,-3.296833698919394,nan,200,1280,20,0.5,1,0.5,256
-3.9347828185156923,-3.9347828185156923,0.5105439,200,1280,20,0.5,1,0.5,64
-3.3565396570402846,-3.3565396570402823,0.58815604,200,1280,20,0.5,1,0.5,1
-3.5035988173592045,-3.5035988173592068,nan,200,1280,20,0.5,1,0.5,384
-2.9548598707110085,-2.9548598707110103,0.6037541,200,1280,1,0.5,1,0.5,384
-3.029774205346954,-3.029774205346954,0.6035301,200,1280,1,0.5,1,0.5,512
-3.0517226700162117,-3.051722670016212,0.60282165,200,1280,1,0.5,1,0.5,640
-3.1304528163346435,-3.1304528163346426,0.60235006,200,1280,1,0.5,1,0.5,768
-3.2005566396195486,-3.2005566396195486,0.6013001,200,1280,1,0.5,1,0.5,896
