avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.2627212426885364,-3.2627212426885355,0.6004301,200,1280,1,0.5,1,0.5,1024
-3.2627212426885364,-3.2627212426885355,0.6004301,200,1280,1,0.5,1,0.5,1024
-3.2627212426885364,-3.2627212426885355,0.6004301,200,1280,1,0.5,1,0.5,1024
-3.5231181362976822,-3.523118136297679,0.5908015,200,1280,2,0.5,1,0.5,1024
-3.5633627403480523,-3.5633627403480492,0.5870856,200,1280,3,0.5,1,0.5,1024
-3.643307504821077,-3.643307504821075,0.57961935,200,1280,5,0.5,1,0.5,1024
-3.6328832529934845,-3.6328832529934822,0.5782195,200,1280,7,0.5,1,0.5,1024
-3.6609194703243073,-3.660919470324304,0.57517546,200,1280,10,0.5,1,0.5,1024
-3.6124023186560708,-3.6124023186560668,0.57391423,200,1280,14,0.5,1,0.5,1024
-3.5359862400062085,-3.535986240006206,0.57135385,200,1280,20,0.5,1,0.5,1024
-3.2627212426885364,-3.2627212426885355,0.6004301,200,1280,1,0.5,1,0.5,1024
-3.2627212426885364,-3.2627212426885355,0.6004301,200,1280,1,0.5,1,0.5,1024
-3.5633627403480523,-3.5633627403480492,0.5870856,200,1280,3,0.5,1,0.5,1024
-3.6328832529934845,-3.6328832529934822,0.5782195,200,1280,7,0.5,1,0.5,1024
-3.596283560701037,-3.596283560701033,0.57328516,200,1280,15,0.5,1,0.5,1024
-3.515470889608189,-3.5154708896081868,nan,200,1280,31,0.5,1,0.5,1024
-3.509183545035973,-3.5091835450359703,nan,200,1280,62,0.5,1,0.5,1024
-3.5096490299532133,-3.509649029953211,nan,200,1280,125,0.5,1,0.5,1024
-3.4843310480450085,-3.4843310480450054,nan,200,1280,250,0.5,1,0.5,1024
-5.019946844258706,-5.01994684425869,nan,200,1280,499,0.5,1,0.5,1024
