num_topics,alpha0,alpha1,delta,umass,glove
20,0.049999999999999996,0.1,0.1,-4.188956021633139,0.6060999
20,0.05649154819548764,0.1,0.1,-4.4622272368933515,0.5834492
100,0.049999999999999996,0.1,0.1,-8.318531929301402,0.4919314
100,0.05649154819548764,0.1,0.1,-7.5667193199363885,0.5136631
100,0.06382590035046207,0.1,0.1,-9.647170723402006,0.46071473
100,0.0721124785153704,0.1,0.1,-8.228779862013011,0.506438
100,0.08147491111094231,0.1,0.1,-8.606768026696804,0.4978558
100,0.09205287735493739,0.1,0.1,-7.616132565262496,0.4843034
100,0.10400419115259521,0.1,0.1,-8.320001439834053,0.4963956
100,0.11750715554059085,0.1,0.1,-8.525808417849216,0.49699536
100,0.13276322281071903,0.1,0.1,-8.95843003995945,0.44805366
100,0.15,0.1,0.1,-8.088296262203313,0.51833355
